athlete,gender,gender_M,n_runs,total_km,avg_km,std_km,max_km,med_pace_min_km,avg_pace_min_km,std_pace_min_km,avg_speed_kmh,std_speed_kmh,avg_hr,std_hr,elev_gain_total,elev_gain_avg,elev_gain_std,weekly_km,best10_dist_km,best10_s,best10_h,pred_marathon_h,y_proxy
771514,M,1,76,510.9575,6.723125,2.948025354080253,15.978299999999999,5.747477903242707,6.080844559956575,1.8206371617586543,10.443841231207363,2.0947383520202942,158.95000000000002,11.798780285106435,4681.2,61.59473684210526,86.40025292360639,2.6474481865284973,10.1396,2741.0,0.7613888888888889,3.4514462416194975,1
1776170,M,1,656,7375.7042,11.243451524390244,7.5869812792541795,73.8689,5.6863966654771945,6.048135484247349,1.514475740643333,10.435164967094464,2.669421488349302,153.03719008264463,21.19210740200211,183487.7,279.7068597560976,512.4294731724284,19.736211544342506,10.083200000000001,2333.0,0.6480555555555556,2.9551164831654897,1
2013538,M,1,155,1697.6486,10.952571612903226,4.545498776951422,24.771099999999997,5.526866435237414,6.42755507109572,2.764869586703269,10.189395295580782,2.5084195056201306,147.35537190082644,11.296990383971178,46139.1,297.6716129032258,366.58507645545143,7.838746833773087,9.9926,2320.0,0.6444444444444445,2.966900088406958,1
2081128,M,1,752,9167.3676,12.190648404255318,3.6650450616736854,33.006,5.4064681018381995,5.640901098679782,1.0092255902550487,10.86319908775317,1.9229421606400758,142.73000000000002,12.190745724122525,185864.4,247.1601063829787,303.5596525243998,26.192478857142856,9.8044,2420.0,0.6722222222222223,3.1577899145390673,1
2138770,M,1,561,7710.2105,13.74369073083779,13.080626399217811,153.534,5.396699413390425,6.4080696783707864,2.963971249992545,10.544670190417902,3.6956652160945507,146.0645631067961,16.091699316149427,302772.0,539.7005347593583,758.1538766374726,26.23795503159942,9.8621,2527.0,0.7019444444444445,3.2769651733149714,1
2683270,M,1,153,1355.0243,8.856367973856209,4.946420616341701,22.505,5.07900677200903,5.09750038654543,0.7602965858451841,11.844053009650802,1.2727196296762833,,,15971.4,104.38823529411765,152.70464308126273,5.389301193181819,9.6051,2807.0,0.7797222222222222,3.7433855398219618,0
2913078,F,0,344,3130.4589,9.100171220930234,8.490071479193945,101.979,6.387169520773069,13.072803696103245,12.390511320103046,8.200078029962883,5.42695638788925,141.7469387755102,22.117728148405103,61462.9,178.67122093023255,332.307306864579,16.219994300518135,9.7202,2499.0,0.6941666666666667,3.290824281154536,1
3460571,M,1,427,3956.669,9.266203747072598,5.237242898987079,41.4699,5.413229161311953,6.323613551125747,6.258433113030236,10.488204256499642,3.1445199980967455,137.2239185750636,16.349387990589197,47927.4,112.24215456674473,229.44764221776305,15.862934135166094,9.989600000000001,2294.0,0.6372222222222222,2.934584226486645,1
3539760,M,1,370,3486.2395,9.422268918918919,5.632275229284169,59.606199999999994,5.782530427954015,9.919537914500015,40.274875363980826,10.069308750389647,2.998043061585174,144.16613418530352,14.970745085165722,54833.8,148.19945945945946,222.53463845289372,11.143231278538813,9.811200000000001,2469.0,0.6858333333333333,3.2193617759265742,1
3573750,M,1,1067,14125.0252,13.238074226804123,9.365484023118109,46.8864,5.768491692780701,5.894048032018434,0.9795443748307359,10.376212278568119,1.3349479268328672,129.7305847076462,14.852526102976064,141460.2,132.57750702905344,163.01162518014795,37.00418278443114,10.0312,2450.0,0.6805555555555556,3.120370558419847,1
5035018,F,0,855,10230.9104,11.965977076023393,9.716220506326197,120.912,5.451792071447145,5.663430611376912,1.1863521481524848,10.936566974657943,1.7580772071797848,159.6741869918699,9.65572993195928,175697.8,205.4945029239766,304.133043433166,33.201841817338895,10.088799999999999,2549.0,0.7080555555555555,3.2268152588590526,1
5151970,M,1,1190,15209.7819,12.781329327731092,4.819272006118157,36.880199999999995,5.352298555612581,5.910572571667032,1.620423346122342,10.717582430692401,2.274291088992705,145.91135135135136,8.91063922476009,542527.6,455.90554621848736,378.754227652984,41.850814976415094,9.8193,2279.0,0.6330555555555556,2.9690199414525593,1
5421161,M,1,572,6445.6748,11.268662237762237,4.590050733509352,27.2072,4.831421681889922,5.141559982383437,1.3467050836183587,12.095054453594846,1.9071769960444223,143.0836787564767,11.683473417906358,76390.6,133.55,199.04424808826496,22.514832135728543,10.0724,2235.0,0.6208333333333333,2.8342015758960883,1
5492554,M,1,200,2389.8026,11.949013,9.601373566555663,74.2877,6.061569678523297,6.762597114633176,2.174535087673084,9.689993529151494,3.0495217627753854,138.0970297029703,16.904303922052183,83876.0,419.38,655.6668135968614,20.400753902439025,9.5724,2849.0,0.7913888888888889,3.8131554532247036,0
5688059,M,1,740,9982.4779,13.489835,11.569092104161195,173.858,6.113066277747789,6.794084187231605,1.9411529844355335,9.381896608267258,3.994561048107619,150.18988235294117,13.68650231085336,359066.7,485.2252702702703,843.9756092819565,31.618708280542986,10.298,2549.0,0.7080555555555555,3.157373246015683,1
5861500,M,1,384,2818.297,7.339315104166666,3.4014929974080768,21.0179,5.688941508418024,5.822901816666586,1.3955220078434967,10.61863096375759,1.9370347601143179,150.54310850439882,11.115150802737869,22868.2,59.55260416666667,87.78834886735234,9.354233760075866,9.5421,2530.0,0.7027777777777777,3.3975986051611313,1
6215611,M,1,839,7248.8453,8.639863289630512,7.271603395435723,93.6078,5.155496205782885,6.092820883082786,3.998911650326524,11.342164271881801,3.2706067660472273,146.86565040650405,21.16177285412718,79077.5,94.25208581644816,207.74968712040805,13.882877455540356,10.428600000000001,1777.0,0.4936111111111111,2.171910911515233,1
6367873,M,1,681,5670.4631,8.32667121879589,5.070886225491193,24.7638,5.00651901022089,5.142291981944434,1.324197731457286,12.040396144195967,2.365312696054903,153.29771689497719,16.53576899829129,78880.1,115.82980910425846,197.8782286900768,20.481548864809085,10.1066,2123.0,0.5897222222222223,2.6825187235342485,1
6583234,M,1,697,6029.5998,8.65078880918221,6.816446085138412,68.067,5.341991988256077,7.231527812959179,25.45821677929067,10.829915656810858,2.274812739267109,145.51304347826087,15.03257990160118,98582.9,141.43888091822095,312.48351197038124,5.777850595482546,10.0464,2374.0,0.6594444444444445,3.0187265253639786,1
7191483,M,1,91,1030.6924,11.32629010989011,4.5527226273969505,41.457699999999996,5.414174582698096,5.455709075169509,0.45522787362774486,11.068130034217372,0.866408983287227,157.10192307692307,14.971823082889387,21033.0,231.13186813186815,153.2845320014898,6.668065434380775,9.748,2898.0,0.805,3.804714550706123,0
7947798,M,1,1009,11973.5978,11.866796630327055,6.044153414525639,75.9502,4.788246247117548,5.03137418459705,1.336819260993355,12.410972761144931,3.1960238195331105,138.39884792626728,16.658819898926136,188765.9,187.08216055500495,371.23557400608684,47.353211638418074,9.5799,2003.0,0.5563888888888889,2.67862837448357,1
8180382,M,1,500,4831.006,9.662012,5.867441305103415,66.30380000000001,4.711264913065174,5.153908374919598,2.8524703535678446,12.329054539863618,2.706389267619576,154.0476923076923,17.39065492348473,47355.6,94.71119999999999,219.0776194897201,18.70411615044248,9.9843,2111.0,0.5863888888888888,2.7020022359192293,1
8684584,M,1,142,1314.1776,9.254771830985915,4.510205043637683,22.172400000000003,5.884505225009423,9.134327881428016,23.189561869786445,9.677737187488535,2.220413173321933,152.04494382022472,10.489107025385422,28329.3,199.50211267605633,335.12309783827914,5.488808591885442,10.04,2321.0,0.6447222222222222,2.9533271290022385,1
10305317,F,0,228,1934.0147,8.482520614035087,3.5995585318601,21.0668,6.349724344962617,6.916827316890213,4.09022657598198,9.246990000515746,1.5938715491782787,152.023125,26.132370398143873,18464.8,80.98596491228069,137.87491961388847,8.372358008658008,10.000399999999999,3209.0,0.8913888888888889,4.100392715479234,0
10446972,M,1,604,7761.6487,12.850411754966887,6.903823167420296,72.81280000000001,5.290529951387017,6.082570978847849,4.675167846726655,22.870658659074156,292.68325700075053,144.03714285714284,9.444350406524897,182939.1,302.87930463576157,516.3930801428461,36.910014198369566,9.8859,2355.0,0.6541666666666667,3.046126084133107,1
10814597,M,1,267,2830.078,10.59954307116105,5.223858399679764,32.954,5.54151075511505,6.786219629990022,8.811528091792868,10.621981433191639,1.9554160296047793,,,75504.5,282.7883895131086,394.92793305652464,30.43094623655914,9.54,2671.0,0.7419444444444444,3.5877878992379095,0
10825360,M,1,804,9031.3372,11.233006467661692,6.171063055883009,84.278,6.116098873462088,8.789606399667132,21.769788953876315,8.743702223056966,2.6642790205354028,168.98593996840444,14.696710476775454,388893.4,483.6982587064677,611.000818470246,31.188633645781945,9.864,2412.0,0.67,3.127196749399334,1
11088529,F,0,439,4455.7018,10.149662414578588,3.641956172560773,27.4253,5.865256778901153,7.359982942289521,3.1236677797994896,9.14702688197168,2.493728818388988,149.3272131147541,9.761316666463872,136227.9,310.3141230068337,437.6415427459687,19.64100289672544,9.5068,2894.0,0.8038888888888889,3.901721419031522,1
11284478,M,1,506,5302.4474,10.479145059288538,5.4489537785539275,43.706900000000005,6.463259165208594,6.948196243940204,1.7634889852818976,9.473840399565637,9.841118046737177,153.0571906354515,12.29875205653403,148850.0,294.1699604743083,401.55523665610315,20.183323436650355,9.7553,2668.0,0.7411111111111112,3.4999747225900517,1
11348733,F,0,474,3779.8151,7.974293459915612,3.8959253534372866,25.679,5.94736201719652,6.095557466512339,0.8379509166760256,9.723034708843743,2.2058852293488522,142.58513189448442,7.560850554028321,40239.8,84.89409282700423,271.4991150607559,14.585835556780593,9.8551,1735.0,0.48194444444444445,2.251608769611161,1
11910984,M,1,419,4421.1642,10.551704534606205,6.4132047342196765,63.136199999999995,5.285796017066597,6.0950632024350675,2.214088506474794,10.857102166440132,4.573647963677893,148.80277777777778,13.661405200911505,114490.0,273.2458233890215,418.3236560327768,20.30718464566929,10.3685,1696.0,0.4711111111111111,2.085648463933742,1
12021072,M,1,517,5480.4517,10.600486847195357,7.684265750001647,61.5578,5.648420094194051,6.693109001044835,3.172695108305737,12.257109385514942,52.09038944520266,148.5987841945289,18.35540555671431,179669.9,347.5239845261122,485.0643162872894,24.702615518351575,9.7041,2613.0,0.7258333333333333,3.4469975966616144,1
12642956,M,1,430,5849.9066,13.604433953488373,10.318550111853211,104.321,5.895319012504007,7.299418089419959,7.5965063195957505,9.993035281545994,8.40806643258843,150.82264150943396,28.261618951956166,220544.6,512.8944186046512,791.9727069751104,28.163236726272352,10.015,2216.0,0.6155555555555555,2.827182833354093,1
12701438,M,1,263,2698.6642,10.26108060836502,4.028567388057286,41.660599999999995,5.290567453355842,7.882812513877815,5.552989615170524,9.853538931237214,3.4163914479630577,151.77105263157895,18.451408855556977,56468.5,214.70912547528516,402.6692250494244,13.210244335664337,10.0622,2589.0,0.7191666666666666,3.286636532849103,1
12740383,F,0,683,6336.9304,9.278082576866765,9.265896399280715,90.281,6.110446570972886,7.519644095860886,5.812645504552037,13.145010325935775,28.284335277182024,147.9533936651584,15.491838020353454,239870.4,351.20117130307466,680.4163161715103,30.57099434872502,10.0,3120.0,0.8666666666666667,3.986839422155708,1
12902518,M,1,365,5610.0636,15.370037260273973,12.671955428090806,165.0,5.193134950552131,5.645616104907775,1.6651937674983588,11.251051149495254,2.3287003880081714,143.91040462427745,12.099101752089716,99609.9,272.90383561643836,522.7430385771312,48.48203111111112,10.0229,2114.0,0.5872222222222222,2.69479747468133,1
13275838,M,1,420,3936.33,9.372214285714286,7.52520284515958,77.5837,5.2553471436002575,6.999347348028356,29.75486120586179,11.657269653874604,3.1039262057849757,138.7648275862069,25.743778997810765,59517.2,141.70761904761903,284.9694184305015,19.002972413793103,10.0406,2280.0,0.6333333333333333,2.9009734297795697,1
13435425,M,1,1215,15767.7437,12.977566831275722,4.694660377736013,60.0,4.5622334306067165,4.533255100573318,0.4623439264660834,13.351030254095711,1.6318487689178809,142.5423076923077,20.838064652494445,94921.9,78.12502057613169,59.07998849585966,81.3969070058997,10.1095,1847.0,0.5130555555555556,2.333069026996469,1
13829937,F,0,576,5747.2918,9.977937152777777,5.5699222364324115,44.0793,5.872957516863076,6.421196558658389,2.521781055998067,10.000018525266617,1.9407754387668725,152.44,14.140391846205874,96431.5,167.41579861111111,307.7576601278369,28.411753248587573,9.912600000000001,2705.0,0.7513888888888889,3.4888522906765473,1
13881863,M,1,418,5100.9038,12.20311913875598,5.579456956197414,56.3014,5.373686962713123,6.070154264824735,3.1087816048941908,10.991666307237201,2.532081196750297,144.83954802259885,12.132329828490604,79093.5,189.2188995215311,352.3231712902838,25.269870205237083,9.5055,2262.0,0.6283333333333333,3.050094438314821,1
13892788,M,1,238,2779.1932,11.677282352941177,5.291971457870016,42.4657,5.365564839096583,5.7618154065682905,1.6137611669085568,10.788610031000113,1.7140748767049583,151.30769230769232,7.859961325759839,35634.4,149.72436974789917,277.2921790605831,14.453456463595842,10.0055,2865.0,0.7958333333333333,3.658858819501268,0
14019837,M,1,235,2805.689,11.939102127659574,7.780613707785639,67.968,5.392106655741623,6.366288739069171,6.119436670080788,10.541805939444618,2.0280944055573302,142.7022727272727,9.268828514204849,52407.8,223.01191489361705,465.8189241688652,15.307734216679657,10.0499,2599.0,0.7219444444444445,3.3036116168990883,1
14474051,F,0,358,3797.8062,10.608397206703911,5.183196375807911,44.0935,6.492082544665529,7.024158985568125,2.23486909390762,9.008144206486097,1.8457375217197498,144.8639175257732,11.904465072391702,104295.3,291.32765363128493,354.95641692552624,31.34981533018868,9.7439,2978.0,0.8272222222222222,3.911488484650271,1
14588097,F,0,516,5895.5298,11.42544534883721,4.49598667470273,42.822300000000006,5.996325321080367,5.992259015463437,0.6706354965674616,10.05886913577212,1.0130847270510197,151.29247311827956,11.428358989173644,46045.5,89.23546511627907,114.84531395682419,32.83111264916468,9.561399999999999,2862.0,0.795,3.835226370823154,1
15002603,F,0,236,1677.014,7.105991525423728,2.7076851999078877,20.0289,6.330933453697651,6.421807887286304,0.9959241023834184,9.490532784993746,1.037417180798464,154.67471264367816,10.606609547914925,17568.2,74.44152542372882,142.5393737772554,8.78675,10.0055,2753.0,0.7647222222222222,3.5158248970635224,1
15355766,M,1,210,2373.1938,11.300922857142858,6.062606055727122,35.128699999999995,5.09694629454986,5.4340506791510705,1.2666116369345268,11.416088155161315,1.6852272199362064,152.6060606060606,10.258326499726387,49318.9,234.85190476190476,393.87124559480384,17.468303470031547,9.930399999999999,2577.0,0.7158333333333333,3.3174456885164543,1
15515123,M,1,459,6074.8471,13.234961002178649,14.659575592209148,177.026,5.734463417184564,6.177487596426622,2.1287072778626173,10.336492023144338,2.2347234221776975,146.8696485623003,12.964849132061723,183755.3,400.3383442265795,884.0197834943965,49.619521236872814,9.9879,2187.0,0.6075,2.7982099487040393,1
15532293,F,0,176,1900.7837,10.799907386363635,3.414033960397162,23.2619,5.906988572192661,6.301698558062003,2.885389450542119,9.880109478914365,1.0251420700991267,168.38584905660377,6.086056486588958,18738.3,106.46761363636364,58.331314079769584,11.199903956228955,9.8316,3107.0,0.8630555555555556,4.042348480623307,0
15655281,,0,344,3478.7454,10.112631976744185,5.851396331555855,43.571400000000004,5.9026511130038415,6.262440475634492,1.6368986983925007,10.000889368163199,1.7484872792973483,154.08375634517768,16.876509459368844,69408.8,201.76976744186047,343.9688326004682,23.505036486486485,10.010399999999999,2692.0,0.7477777777777778,3.4361387172884013,1
16021442,M,1,289,3647.2999,12.620414878892733,3.8624291018870798,42.3356,5.158326409653756,5.235269260463664,0.9916882714389446,11.613420179012989,1.0081038084640452,158.74163568773236,12.087633016492852,21660.5,74.94982698961938,57.19391790008471,29.078700797266514,9.963899999999999,2449.0,0.6802777777777778,3.141433084252479,1
16378210,M,1,574,5907.3285,10.29151306620209,5.215944559134532,43.351,5.8053298003257074,6.104581138447071,1.2418741461685234,10.137459296725293,1.6224994392511773,148.39425925925926,9.495456603595601,117073.1,203.96010452961673,348.3015069582361,21.00116785170137,10.214,2210.0,0.6138888888888889,2.7613332276568756,1
17199625,M,1,232,2743.4574,11.825247413793102,6.891153723999015,76.5517,5.830416624141747,6.182909701928207,2.0747771304259897,10.18363408207954,2.3930149341883293,148.11818181818182,14.280147927803437,59334.8,255.75344827586207,440.64061067979844,5.310896515486726,9.756200000000002,2350.0,0.6527777777777778,3.082509869917876,1
17639804,M,1,744,9721.0549,13.065934005376343,12.63424412961092,218.95,5.555459788277703,6.7189543144805866,12.315487987806604,10.088148171085058,2.2935804211812023,147.48679245283017,13.661889458012986,296158.0,398.06182795698925,794.4401736760019,18.612523057986866,10.008899999999999,2588.0,0.7188888888888889,3.3039151905630626,1
17666737,M,1,346,4320.4963,12.48698352601156,9.887090529609026,135.813,5.940521418739799,6.632727745055016,2.1350442417829685,9.759576859368053,2.345654528830011,149.56,14.092407870763584,129454.8,374.14682080924854,657.7588898842396,26.954968003565064,10.0937,2439.0,0.6775,3.0859759274915692,1
18042525,M,1,214,2421.1778,11.313914953271027,3.2296077689960105,20.5148,5.832242787981518,5.722565729510344,0.7045474737317944,10.656842845916513,1.4384064709169107,143.73732057416268,12.717592467553617,40184.5,187.77803738317758,113.69654337521774,14.62316186367558,9.8407,2475.0,0.6875,3.2169314117116734,1
18223349,M,1,477,5629.1842,11.801224737945493,5.206825572836235,41.7117,5.24708886934175,5.578879670211266,1.3121338397987221,11.153407383408746,2.009128240037898,150.82249388753056,14.504224625969327,134411.2,281.78448637316563,427.4203442551506,33.112848235294116,10.0308,2253.0,0.6258333333333334,2.8695885850896503,1
